出租车,4
摩托车,5
摩托,5
自行车,6
卡车,7
巴士,5
公交车,5
大巴,8
警车,9
直升机,23
挖掘机,26
火箭,32
救护车,41
急救车,41
吊车,42
越野车,51
轮船,69
拖拉机,80
消防车,88
坦克,91
小轿车,94
