哀愁
哀伤
哀痛
矮
矮小
爱国
碍事
暧昧
安定
安分
安静
安乐
安谧
安宁
安全
安稳
安闲
安详
安心
安逸
暗
暗淡
黯淡
肮脏
昂贵
拗口
傲慢
奥妙
拔尖
霸道
白
白净
般配
薄
薄情
薄弱
饱
饱满
宝贵
保暖
保险
抱歉
暴烈
暴虐
暴躁
卑鄙
卑贱
卑劣
卑怯
卑下
悲哀
悲惨
悲观
悲凉
悲伤
悲痛
悲壮
被动
笨
笨重
笨拙
逼真
闭塞
蔽塞
便利
便宜
标致
憋闷
憋气
别扭
别致
蹩脚
不安
不便
不错
不公
不和
不赖
不力
不满
不妥
不幸
不周
残暴
残酷
残忍
惭愧
惨
惨重
灿烂
仓促
苍白
苍老
苍凉
嘈杂
草率
诧异
差
差劲
馋
缠绵
缠手
昌盛
猖獗
猖狂
长
长寿
长远
常见
常用
敞亮
怅惘
畅快
畅通
潮湿
彻底
沉
沉静
沉闷
沉默
沉稳
沉重
沉着
陈旧
称心
称职
成功
成熟
诚恳
诚朴
诚实
吃亏
吃力
吃香
迟
迟钝
迟缓
充分
充沛
充实
充裕
充足
崇高
抽象
惆怅
稠密
丑
丑陋
臭
出名
出色
出众
纯
纯洁
纯净
纯朴
纯真
纯正
淳朴
醇厚
蠢
蠢笨
慈祥
刺耳
刺眼
聪慧
聪明
聪颖
从容
凑巧
粗
粗暴
粗糙
粗犷
粗陋
粗鲁
粗浅
粗率
粗俗
粗心
粗野
粗壮
脆弱
大
大胆
大度
大方
呆板
歹毒
单薄
单纯
单调
胆大
胆怯
胆小
淡
淡漠
倒霉
到家
得劲
得力
得体
得意
低
低沉
低级
低廉
低劣
低下
地道
典型
典雅
刁钻
丢脸
丢人
懂事
懂行
动人
动听
陡
毒辣
独到
独特
端正
端庄
短
短暂
对
对称
对路
钝
多
多情
多心
恶毒
恶劣
恶心
饿
发达
乏
乏味
烦
烦乱
烦恼
烦琐
烦躁
繁华
繁忙
繁荣
繁琐
繁杂
繁重
反常
反感
方便
放荡
放松
肥
肥大
肥胖
肥沃
费工
费解
费劲
费事
分散
纷乱
愤慨
愤怒
丰富
丰满
丰美
丰饶
丰盛
丰硕
丰裕
风流
疯狂
锋利
肤浅
伏贴
浮浅
浮躁
腐败
腐朽
负责
复杂
富
富丽
富饶
富有
富裕
富足
干
干脆
干净
干练
干燥
甘美
甘甜
尴尬
感动
感慨
感人
刚烈
刚正
刚直
高
高傲
高大
高贵
高级
高明
高尚
高兴
高雅
高涨
革命
耿直
工整
公道
公平
公正
恭敬
巩固
孤单
孤独
孤立
孤僻
古
古板
古怪
古老
古朴
鼓
固定
固执
乖僻
乖巧
怪
怪僻
关切
管用
光
光彩
光滑
光溜
光荣
广
广博
广泛
广阔
诡怪
贵重
果断
过分
过火
过硬
害臊
害羞
憨厚
含糊
含混
含蓄
寒碜
寒酸
豪放
豪华
豪爽
好
好看
好客
好奇
好强
好受
好笑
好学
浩大
合法
合理
合群
合适
合算
和蔼
和缓
和睦
和气
和谐
和煦
黑
黑暗
狠
红
红润
宏伟
洪亮
厚
厚道
糊涂
华贵
华丽
华美
滑
滑稽
滑润
划算
坏
欢
欢畅
欢快
欢乐
缓和
缓慢
荒凉
荒谬
荒唐
慌
慌乱
慌张
