从
自
自从
于
打
到
往
在
当
朝
向
顺着
沿着
随着
按
照
按照
依
依照
本着
经过
通过
根据
以
凭
为
为了
为着
因
由于
因为
对
对于
把
向
跟
与
同
给
关于
除
除了
除去
除非
被
叫
让
给
比
和
同
