一
两
三
几
一些
二
四
五
第一
多
第二
十
六
有些
半
八
第三
七
万
百
二十
九
之一
多少
三十
千
数
十二
五十
十五
四十
一百
十一
十九
几十
若干
一半
十八
亿
无数
一点
六十
第四
十三
许多
十七
十几
十六
零
好几
七十
八十
十四
二百
很多
一千
俩
三百
好多
一个
一下
余
十万
五百
几百
几千
三千
一万
百万
第五
四百
好些
些
九十
多数
二千
千万
多半
多种
两千
五千
大量
第六
双
大多数
八百
几个
丙
点
第七
多次
六百
甲
四千
乙
千百万
不少
三万
一二
七百
几万
五万
千百
两万
第八
几十万
一百万
二万
上百
少数
少量
亿万
六千
第十
仨
上千
大多
大批
